order_id,order_date,dt_month,country_code,channel_id,shop_id,warehouse_id,dest_warehouse,order_type,campaign_id,gmv,cost_promo_discount,cost_ad_spend,cost_refund,cost_front_total,cost_production,cost_freight,cost_warehouse,cost_commission,cost_other,cost_back_total,gross_margin_amt,gross_margin_pct,item_qty,sku_qty,created_at,paid_at,shipped_at,delivered_at,turnover_days
16,2025-04-08,2025-04,US,DTC,SHOP_EU,WH_US_EAST,WH_UK,B2C_STD,CAMP002,117.53,2.35,9.43,1.9,13.68,25.57,6.7,5.4,10.26,1.52,49.45,54.39999999999999,0.4629,3,1,2025-04-08,2025-04-08 01:00:00,2025-04-09 20:00:00,2025-04-15 00:00:00,1
17,2025-05-23,2025-05,US,AMZ,SHOP_UK,WH_US_WEST,WH_UK,B2C_STD,,212.06,19.34,13.42,15.42,48.18,36.17,6.9,6.28,31.25,2.43,83.03,80.85,0.3813,3,3,2025-05-23,2025-05-23 01:00:00,2025-05-23 14:00:00,2025-05-26 09:00:00,7
18,2025-08-11,2025-08,DE,AMZ,SHOP_UK,WH_AU,WH_US_EAST,B2C_STD,CAMP003,67.56,3.76,6.04,4.11,13.91,12.52,2.24,1.71,9.61,1.77,27.849999999999998,25.800000000000008,0.3819,1,1,2025-08-11,2025-08-11 01:00:00,2025-08-12 22:00:00,2025-08-15 04:00:00,18
19,2025-07-08,2025-07,AU,DTC,SHOP_US,WH_AU,WH_EU_DE,B2C_BUNDLE,CAMP003,36.7,1.67,2.09,1.99,5.75,5.97,1.44,1.0,3.63,0.92,12.959999999999999,17.990000000000002,0.4902,3,1,2025-07-08,2025-07-08 01:00:00,2025-07-08 09:00:00,2025-07-12 13:00:00,23
20,2025-05-18,2025-05,US,AMZ,SHOP_US,WH_AU,WH_US_WEST,B2C_STD,,74.98,1.6,3.13,1.81,6.540000000000001,12.22,2.37,2.44,10.32,1.88,29.23,39.209999999999994,0.5229,3,3,2025-05-18,2025-05-18 01:00:00,2025-05-18 14:00:00,2025-05-21 13:00:00,28
21,2025-09-12,2025-09,UK,DTC,SHOP_UK,WH_UK,WH_UK,B2C_BUNDLE,,104.89,7.77,9.29,1.54,18.599999999999998,22.83,7.05,2.89,12.2,2.55,47.519999999999996,38.77000000000001,0.3696,2,2,2025-09-12,2025-09-12 01:00:00,2025-09-13 01:00:00,2025-09-17 10:00:00,23
22,2025-03-23,2025-03,US,AMZ,SHOP_UK,WH_EU_DE,WH_AU,B2C_BUNDLE,CAMP001,142.33,14.96,9.74,8.61,33.31,33.57,9.42,4.22,15.99,3.33,66.53,42.49000000000001,0.2985,5,1,2025-03-23,2025-03-23 00:00:00,2025-03-24 03:00:00,2025-03-30 09:00:00,15
23,2025-05-18,2025-05,AU,DTC,SHOP_UK,WH_EU_DE,WH_AU,B2C_STD,,165.33,19.14,7.15,6.27,32.56,40.72,6.08,3.98,16.87,3.23,70.88,61.890000000000015,0.3743,4,1,2025-05-18,2025-05-18 00:00:00,2025-05-19 17:00:00,2025-05-24 04:00:00,26
24,2025-06-14,2025-06,DE,DTC,SHOP_UK,WH_US_EAST,WH_EU_DE,B2C_PROMO,CAMP002,230.33,17.64,18.52,4.16,40.31999999999999,49.02,16.54,6.65,27.79,5.26,105.26,84.75000000000001,0.368,3,3,2025-06-14,2025-06-14 01:00:00,2025-06-14 07:00:00,2025-06-15 16:00:00,25
25,2025-07-17,2025-07,DE,DTC,SHOP_US,WH_UK,WH_UK,B2C_STD,CAMP003,142.17,10.16,9.35,7.01,26.519999999999996,23.94,5.37,5.28,18.64,1.53,54.760000000000005,60.889999999999986,0.4283,3,2,2025-07-17,2025-07-17 01:00:00,2025-07-18 20:00:00,2025-07-21 00:00:00,13
26,2025-11-14,2025-11,UK,AMZ,SHOP_UK,WH_AU,WH_US_EAST,B2C_BUNDLE,CAMP001,140.28,4.0,10.14,0.45,14.59,22.52,6.32,4.67,15.26,3.15,51.919999999999995,73.77000000000001,0.5259,4,2,2025-11-14,2025-11-14 01:00:00,2025-11-15 11:00:00,2025-11-18 10:00:00,16
27,2025-04-14,2025-04,US,DTC,SHOP_US,WH_AU,WH_AU,B2C_STD,CAMP002,41.05,3.07,2.56,1.07,6.7,9.49,1.74,1.25,5.09,1.05,18.62,15.729999999999993,0.3832,3,3,2025-04-14,2025-04-14 01:00:00,2025-04-15 21:00:00,2025-04-21 16:00:00,7
28,2025-08-07,2025-08,US,DTC,SHOP_UK,WH_US_WEST,WH_EU_DE,B2C_PROMO,,37.68,2.19,3.32,1.41,6.92,7.83,1.83,1.6,4.86,0.75,16.87,13.889999999999997,0.3686,2,2,2025-08-07,2025-08-07 01:00:00,2025-08-08 17:00:00,2025-08-10 05:00:00,16
29,2025-09-05,2025-09,US,AMZ,SHOP_UK,WH_US_WEST,WH_UK,B2C_PROMO,CAMP001,151.26,12.21,13.32,1.79,27.32,32.04,6.46,7.08,19.63,2.59,67.8,56.14,0.3711,2,3,2025-09-05,2025-09-05 01:00:00,2025-09-05 06:00:00,2025-09-08 04:00:00,13
30,2025-02-17,2025-02,FR,DTC,SHOP_UK,WH_AU,WH_UK,B2C_STD,,126.4,7.44,10.07,9.96,27.470000000000002,28.84,6.88,5.4,10.57,1.97,53.66,45.27000000000001,0.3581,4,3,2025-02-17,2025-02-17 00:00:00,2025-02-17 05:00:00,2025-02-22 11:00:00,14
31,2025-09-10,2025-09,DE,AMZ,SHOP_US,WH_AU,WH_UK,B2C_STD,,214.62,9.45,8.02,3.59,21.06,47.29,10.81,6.43,30.09,4.91,99.53,94.03,0.4381,3,3,2025-09-10,2025-09-10 00:00:00,2025-09-11 18:00:00,2025-09-16 12:00:00,17
32,2025-04-04,2025-04,AU,AMZ,SHOP_US,WH_UK,WH_UK,B2C_PROMO,CAMP001,65.35,1.93,5.8,0.68,8.41,15.26,5.18,2.77,7.32,1.56,32.089999999999996,24.85,0.3803,3,1,2025-04-04,2025-04-04 01:00:00,2025-04-05 22:00:00,2025-04-09 02:00:00,12
33,2025-02-24,2025-02,AU,AMZ,SHOP_EU,WH_EU_DE,WH_UK,B2C_PROMO,,35.49,1.83,2.73,0.58,5.140000000000001,5.52,1.16,0.87,3.49,0.97,12.01,18.340000000000003,0.5168,5,1,2025-02-24,2025-02-24 01:00:00,2025-02-26 00:00:00,2025-03-02 19:00:00,29
34,2026-01-13,2026-01,UK,AMZ,SHOP_UK,WH_US_WEST,WH_AU,B2C_STD,CAMP003,128.79,3.82,10.15,7.92,21.89,28.95,4.78,3.08,12.48,2.17,51.459999999999994,55.44,0.4305,3,1,2026-01-13,2026-01-13 01:00:00,2026-01-14 14:00:00,2026-01-18 18:00:00,24
35,2026-01-19,2026-01,DE,AMZ,SHOP_EU,WH_EU_DE,WH_EU_DE,B2C_PROMO,,82.25,3.1,4.56,2.8,10.46,19.34,2.68,2.5,9.36,2.09,35.97,35.81999999999999,0.4355,2,3,2026-01-19,2026-01-19 00:00:00,2026-01-20 21:00:00,2026-01-23 16:00:00,24
36,2025-11-23,2025-11,FR,DTC,SHOP_EU,WH_UK,WH_UK,B2C_STD,CAMP002,40.92,4.86,3.75,1.85,10.459999999999999,7.31,2.51,1.81,5.81,0.87,18.310000000000002,12.149999999999999,0.2969,1,1,2025-11-23,2025-11-23 01:00:00,2025-11-24 00:00:00,2025-11-25 01:00:00,20
37,2025-05-23,2025-05,DE,AMZ,SHOP_US,WH_AU,WH_US_WEST,B2C_PROMO,CAMP001,189.41,12.2,15.3,0.32,27.82,40.54,6.2,5.19,20.17,5.24,77.33999999999999,84.25000000000001,0.4448,1,1,2025-05-23,2025-05-23 00:00:00,2025-05-24 12:00:00,2025-05-29 16:00:00,13
38,2025-03-08,2025-03,US,DTC,SHOP_US,WH_EU_DE,WH_US_WEST,B2C_STD,CAMP001,54.55,3.99,2.07,0.15,6.210000000000001,9.9,3.92,1.19,7.23,1.12,23.360000000000003,24.979999999999993,0.4579,1,1,2025-03-08,2025-03-08 00:00:00,2025-03-08 07:00:00,2025-03-11 15:00:00,24
39,2025-10-08,2025-10,UK,AMZ,SHOP_EU,WH_AU,WH_EU_DE,B2C_BUNDLE,CAMP001,163.83,17.59,9.59,5.84,33.019999999999996,40.27,9.11,3.92,14.22,3.33,70.85000000000001,59.959999999999994,0.366,1,3,2025-10-08,2025-10-08 00:00:00,2025-10-09 23:00:00,2025-10-13 07:00:00,20
40,2025-07-11,2025-07,US,AMZ,SHOP_UK,WH_AU,WH_US_EAST,B2C_STD,CAMP001,91.83,10.98,8.45,6.0,25.43,14.08,5.17,4.2,10.41,1.98,35.839999999999996,30.56000000000001,0.3328,3,3,2025-07-11,2025-07-11 01:00:00,2025-07-11 15:00:00,2025-07-14 00:00:00,15
41,2025-03-17,2025-03,AU,AMZ,SHOP_US,WH_US_EAST,WH_US_EAST,B2C_STD,,68.17,5.34,2.27,4.83,12.44,14.18,3.96,2.66,10.19,1.7,32.690000000000005,23.04,0.338,3,3,2025-03-17,2025-03-17 01:00:00,2025-03-18 22:00:00,2025-03-22 07:00:00,24
42,2025-07-31,2025-07,UK,DTC,SHOP_UK,WH_EU_DE,WH_US_EAST,B2C_STD,,113.55,11.5,11.05,0.79,23.34,18.92,4.38,3.13,15.21,3.33,44.97,45.239999999999995,0.3984,5,1,2025-07-31,2025-07-31 00:00:00,2025-07-31 08:00:00,2025-08-02 18:00:00,21
43,2025-02-13,2025-02,US,AMZ,SHOP_UK,WH_EU_DE,WH_US_WEST,B2C_STD,,206.32,10.87,16.0,8.89,35.76,45.64,8.23,7.56,19.55,2.37,83.35000000000001,87.21,0.4227,3,2,2025-02-13,2025-02-13 00:00:00,2025-02-14 04:00:00,2025-02-18 06:00:00,4
44,2025-12-29,2025-12,UK,AMZ,SHOP_EU,WH_AU,WH_US_EAST,B2C_PROMO,,116.26,5.88,8.63,8.49,23.0,19.48,5.34,4.17,13.38,1.29,43.660000000000004,49.6,0.4266,1,1,2025-12-29,2025-12-29 00:00:00,2025-12-30 16:00:00,2026-01-02 00:00:00,22
45,2025-05-06,2025-05,UK,DTC,SHOP_EU,WH_UK,WH_AU,B2C_STD,CAMP001,195.17,11.76,9.55,6.06,27.37,33.87,11.65,7.74,18.81,5.61,77.67999999999999,90.11999999999999,0.4618,4,1,2025-05-06,2025-05-06 00:00:00,2025-05-07 13:00:00,2025-05-13 07:00:00,2
46,2025-09-30,2025-09,US,AMZ,SHOP_EU,WH_US_EAST,WH_UK,B2C_BUNDLE,CAMP002,57.61,5.03,2.73,3.82,11.58,11.49,2.33,1.56,6.26,1.19,22.830000000000002,23.2,0.4027,4,3,2025-09-30,2025-09-30 01:00:00,2025-09-30 13:00:00,2025-10-04 15:00:00,28
47,2025-05-25,2025-05,US,AMZ,SHOP_EU,WH_AU,WH_US_WEST,B2C_STD,CAMP002,200.01,17.64,19.19,2.14,38.97,48.3,7.16,9.19,26.92,4.46,96.02999999999999,65.01,0.325,2,3,2025-05-25,2025-05-25 00:00:00,2025-05-25 09:00:00,2025-05-29 09:00:00,18
48,2025-08-09,2025-08,UK,AMZ,SHOP_US,WH_US_WEST,WH_EU_DE,B2C_STD,CAMP002,82.13,4.23,4.18,6.15,14.56,14.06,6.45,2.4,11.0,1.61,35.519999999999996,32.05,0.3902,2,1,2025-08-09,2025-08-09 01:00:00,2025-08-09 22:00:00,2025-08-14 03:00:00,2
49,2025-08-19,2025-08,UK,DTC,SHOP_US,WH_US_WEST,WH_EU_DE,B2C_STD,,179.03,5.97,15.09,10.76,31.82,29.44,5.57,7.31,17.18,2.13,61.63000000000001,85.58,0.478,3,1,2025-08-19,2025-08-19 00:00:00,2025-08-19 17:00:00,2025-08-21 01:00:00,25
50,2025-04-09,2025-04,DE,AMZ,SHOP_EU,WH_US_EAST,WH_UK,B2C_STD,,154.47,12.86,8.88,11.63,33.370000000000005,34.89,10.83,3.16,22.33,3.92,75.13,45.97,0.2976,4,2,2025-04-09,2025-04-09 01:00:00,2025-04-09 23:00:00,2025-04-12 22:00:00,15
51,2026-01-20,2026-01,UK,DTC,SHOP_US,WH_UK,WH_US_WEST,B2C_STD,CAMP003,234.41,7.7,9.32,12.69,29.71,46.9,16.27,7.31,28.48,5.85,104.81,99.88999999999999,0.4261,1,2,2026-01-20,2026-01-20 00:00:00,2026-01-20 17:00:00,2026-01-24 11:00:00,26
52,2025-11-10,2025-11,FR,AMZ,SHOP_EU,WH_AU,WH_US_EAST,B2C_STD,CAMP003,115.21,8.97,3.54,3.35,15.860000000000001,27.79,5.17,3.52,12.28,1.87,50.63,48.71999999999999,0.4229,1,3,2025-11-10,2025-11-10 01:00:00,2025-11-11 20:00:00,2025-11-17 18:00:00,19
53,2026-01-09,2026-01,UK,DTC,SHOP_UK,WH_EU_DE,WH_US_EAST,B2C_STD,,44.56,3.98,3.03,3.34,10.35,7.34,1.64,1.62,5.13,0.72,16.45,17.76,0.3986,1,2,2026-01-09,2026-01-09 01:00:00,2026-01-09 21:00:00,2026-01-16 09:00:00,15
54,2025-12-24,2025-12,UK,DTC,SHOP_UK,WH_US_EAST,WH_AU,B2C_STD,,34.21,3.08,3.36,0.75,7.1899999999999995,7.34,1.28,0.76,4.19,0.92,14.49,12.530000000000003,0.3663,3,2,2025-12-24,2025-12-24 01:00:00,2025-12-25 15:00:00,2025-12-31 13:00:00,26
55,2025-09-07,2025-09,FR,DTC,SHOP_UK,WH_UK,WH_AU,B2C_PROMO,CAMP002,211.91,20.21,11.83,5.63,37.67,36.72,13.75,9.26,25.26,2.43,87.42,86.82000000000001,0.4097,3,3,2025-09-07,2025-09-07 00:00:00,2025-09-08 08:00:00,2025-09-12 21:00:00,20
56,2026-01-03,2026-01,US,AMZ,SHOP_EU,WH_EU_DE,WH_US_EAST,B2C_PROMO,,145.44,15.6,8.0,8.15,31.75,24.1,9.04,3.86,16.59,4.02,57.61,56.08,0.3856,5,2,2026-01-03,2026-01-03 01:00:00,2026-01-04 22:00:00,2026-01-10 07:00:00,10
57,2025-03-05,2025-03,US,DTC,SHOP_UK,WH_US_WEST,WH_EU_DE,B2C_STD,,200.55,14.04,10.85,12.28,37.17,43.79,13.87,8.08,23.13,3.03,91.89999999999999,71.48,0.3564,1,1,2025-03-05,2025-03-05 00:00:00,2025-03-05 20:00:00,2025-03-09 23:00:00,28
58,2025-04-13,2025-04,US,AMZ,SHOP_US,WH_US_WEST,WH_EU_DE,B2C_STD,CAMP002,81.57,7.59,5.42,6.06,19.07,17.08,6.27,3.6,7.53,1.78,36.26,26.239999999999995,0.3217,1,2,2025-04-13,2025-04-13 01:00:00,2025-04-14 23:00:00,2025-04-17 14:00:00,24
59,2025-02-17,2025-02,DE,AMZ,SHOP_UK,WH_EU_DE,WH_AU,B2C_MEMBER,CAMP003,105.92,8.68,6.44,1.74,16.86,23.88,6.84,3.9,14.5,3.04,52.16,36.900000000000006,0.3484,3,3,2025-02-17,2025-02-17 01:00:00,2025-02-17 12:00:00,2025-02-19 06:00:00,20
60,2025-05-30,2025-05,UK,AMZ,SHOP_UK,WH_US_EAST,WH_UK,B2C_PROMO,,36.62,1.42,3.35,2.34,7.109999999999999,6.63,1.38,1.55,4.32,0.86,14.74,14.769999999999998,0.4033,3,1,2025-05-30,2025-05-30 00:00:00,2025-05-30 04:00:00,2025-06-02 02:00:00,11
61,2025-06-22,2025-06,DE,DTC,SHOP_UK,WH_US_WEST,WH_US_EAST,B2C_PROMO,,241.53,5.45,15.79,14.27,35.51,47.05,10.19,9.63,21.54,4.42,92.83,113.19000000000001,0.4686,5,2,2025-06-22,2025-06-22 01:00:00,2025-06-23 16:00:00,2025-06-27 08:00:00,26
62,2025-05-11,2025-05,US,DTC,SHOP_US,WH_AU,WH_AU,B2C_STD,,176.93,8.57,11.6,0.9,21.07,33.71,12.76,5.43,23.64,4.21,79.74999999999999,76.11000000000003,0.4302,5,1,2025-05-11,2025-05-11 01:00:00,2025-05-11 11:00:00,2025-05-13 16:00:00,10
63,2025-11-30,2025-11,US,DTC,SHOP_EU,WH_EU_DE,WH_AU,B2C_BUNDLE,CAMP001,235.31,15.13,9.34,7.29,31.759999999999998,58.45,9.52,10.42,34.18,3.97,116.53999999999999,87.01000000000002,0.3698,2,1,2025-11-30,2025-11-30 00:00:00,2025-11-30 08:00:00,2025-12-06 13:00:00,29
64,2025-06-11,2025-06,US,AMZ,SHOP_US,WH_EU_DE,WH_US_EAST,B2C_BUNDLE,CAMP003,88.41,7.22,8.73,2.0,17.95,15.85,2.97,2.55,12.94,1.37,35.68,34.779999999999994,0.3934,4,2,2025-06-11,2025-06-11 01:00:00,2025-06-12 04:00:00,2025-06-15 21:00:00,23
65,2025-05-14,2025-05,US,AMZ,SHOP_EU,WH_US_WEST,WH_US_EAST,B2C_PROMO,,164.52,17.27,7.81,4.01,29.089999999999996,29.53,10.72,6.11,17.41,4.92,68.69,66.74000000000001,0.4057,1,2,2025-05-14,2025-05-14 01:00:00,2025-05-15 08:00:00,2025-05-16 12:00:00,5
66,2025-08-18,2025-08,UK,DTC,SHOP_EU,WH_US_EAST,WH_EU_DE,B2C_MEMBER,,179.27,7.1,6.3,14.1,27.5,33.25,8.99,7.59,16.04,4.48,70.35000000000001,81.42,0.4542,1,3,2025-08-18,2025-08-18 01:00:00,2025-08-19 23:00:00,2025-08-24 19:00:00,9
67,2025-03-24,2025-03,US,AMZ,SHOP_UK,WH_AU,WH_UK,B2C_STD,CAMP001,99.86,3.25,7.63,5.14,16.02,20.62,7.59,3.13,11.61,2.29,45.24,38.6,0.3865,5,3,2025-03-24,2025-03-24 01:00:00,2025-03-24 21:00:00,2025-03-29 21:00:00,20
68,2025-11-20,2025-11,US,AMZ,SHOP_EU,WH_US_EAST,WH_UK,B2C_STD,,216.58,25.2,15.52,12.43,53.15,37.95,13.54,6.3,19.03,3.7,80.52,82.91000000000001,0.3828,5,1,2025-11-20,2025-11-20 00:00:00,2025-11-21 16:00:00,2025-11-26 13:00:00,19
69,2025-02-28,2025-02,FR,AMZ,SHOP_US,WH_UK,WH_US_EAST,B2C_BUNDLE,,238.38,7.34,14.08,18.62,40.040000000000006,57.58,8.23,8.05,34.66,2.62,111.14,87.19999999999997,0.3658,2,3,2025-02-28,2025-02-28 01:00:00,2025-03-01 00:00:00,2025-03-06 09:00:00,13
70,2026-01-27,2026-01,US,AMZ,SHOP_US,WH_UK,WH_US_WEST,B2C_BUNDLE,,224.67,15.24,13.38,6.78,35.4,39.67,17.39,10.01,20.86,2.39,90.32000000000001,98.94999999999997,0.4404,4,1,2026-01-27,2026-01-27 01:00:00,2026-01-27 07:00:00,2026-02-02 19:00:00,18
71,2025-11-09,2025-11,UK,AMZ,SHOP_EU,WH_US_WEST,WH_AU,B2C_STD,,192.59,15.13,16.36,12.35,43.84,46.14,8.27,9.22,18.81,4.06,86.5,62.25,0.3232,2,1,2025-11-09,2025-11-09 01:00:00,2025-11-10 17:00:00,2025-11-15 05:00:00,17
72,2025-04-14,2025-04,DE,AMZ,SHOP_UK,WH_US_WEST,WH_AU,B2C_STD,,91.04,6.75,3.98,3.16,13.89,14.6,4.27,3.31,9.87,2.3,34.349999999999994,42.80000000000001,0.4701,4,3,2025-04-14,2025-04-14 01:00:00,2025-04-15 06:00:00,2025-04-18 15:00:00,27
73,2025-02-03,2025-02,US,AMZ,SHOP_UK,WH_US_WEST,WH_US_EAST,B2C_STD,CAMP003,91.96,2.63,8.04,6.4,17.07,19.83,4.61,3.66,9.82,1.91,39.83,35.05999999999999,0.3813,1,3,2025-02-03,2025-02-03 01:00:00,2025-02-03 19:00:00,2025-02-08 01:00:00,6
74,2025-11-25,2025-11,UK,AMZ,SHOP_US,WH_UK,WH_US_WEST,B2C_STD,,241.94,6.22,18.25,3.5,27.97,58.23,7.88,11.39,32.81,6.49,116.8,97.17,0.4016,2,3,2025-11-25,2025-11-25 01:00:00,2025-11-25 12:00:00,2025-11-26 19:00:00,10
75,2025-10-17,2025-10,FR,DTC,SHOP_UK,WH_US_EAST,WH_EU_DE,B2C_BUNDLE,CAMP001,32.26,0.99,1.91,2.45,5.35,5.38,1.77,0.74,3.61,0.34,11.84,15.069999999999997,0.4671,5,2,2025-10-17,2025-10-17 01:00:00,2025-10-17 17:00:00,2025-10-19 04:00:00,2
76,2025-10-25,2025-10,FR,AMZ,SHOP_EU,WH_US_EAST,WH_US_EAST,B2C_PROMO,,187.53,14.73,11.64,3.28,29.650000000000002,46.29,6.78,5.06,17.24,3.25,78.62,79.25999999999999,0.4227,2,1,2025-10-25,2025-10-25 01:00:00,2025-10-25 07:00:00,2025-10-30 04:00:00,24
77,2025-11-09,2025-11,US,AMZ,SHOP_EU,WH_US_WEST,WH_US_EAST,B2C_STD,CAMP001,185.37,13.8,8.89,4.84,27.53,36.2,9.28,7.65,18.3,2.73,74.16000000000001,83.67999999999999,0.4514,2,1,2025-11-09,2025-11-09 00:00:00,2025-11-09 04:00:00,2025-11-13 22:00:00,6
78,2025-02-28,2025-02,FR,DTC,SHOP_US,WH_AU,WH_AU,B2C_STD,,166.99,7.24,13.8,10.1,31.14,40.84,7.94,7.47,19.31,3.16,78.72,57.130000000000024,0.3421,1,1,2025-02-28,2025-02-28 00:00:00,2025-02-28 12:00:00,2025-03-02 20:00:00,28
79,2025-06-11,2025-06,UK,AMZ,SHOP_EU,WH_US_EAST,WH_US_EAST,B2C_STD,CAMP002,247.82,20.76,16.33,7.81,44.900000000000006,53.95,17.01,11.33,22.38,2.84,107.51,95.40999999999998,0.385,5,3,2025-06-11,2025-06-11 00:00:00,2025-06-12 10:00:00,2025-06-17 13:00:00,28
80,2025-03-15,2025-03,US,DTC,SHOP_US,WH_UK,WH_US_EAST,B2C_STD,CAMP001,98.61,10.06,5.17,4.8,20.03,17.77,6.92,3.2,12.11,2.87,42.87,35.71,0.3621,5,3,2025-03-15,2025-03-15 00:00:00,2025-03-16 20:00:00,2025-03-18 10:00:00,21
81,2025-12-13,2025-12,UK,DTC,SHOP_EU,WH_EU_DE,WH_US_EAST,B2C_PROMO,CAMP001,104.79,2.53,7.52,3.73,13.78,17.69,3.95,2.38,12.53,1.52,38.07,52.940000000000005,0.5052,3,3,2025-12-13,2025-12-13 01:00:00,2025-12-14 06:00:00,2025-12-19 23:00:00,13
