campaign_id,country_code,channel_id,dt,spend,attributed_sales,roas
C2,DE,DTC,2026-01-01,20301.98,104584.82,5.15
C2,DE,DTC,2026-02-01,11347.1,57354.23,5.05
C3,US,AMZ,2025-10-01,22199.6,73064.61,3.29
C3,US,AMZ,2025-11-01,18637.2,48253.49,2.59
C3,US,AMZ,2025-12-01,16314.11,90132.02,5.52
C3,US,AMZ,2026-01-01,15529.78,83212.7,5.36
C3,US,AMZ,2026-02-01,19756.33,54675.78,2.77
C3,US,DTC,2025-10-01,19527.66,78578.0,4.02
C3,US,DTC,2025-11-01,14966.03,37093.63,2.48
C3,US,DTC,2025-12-01,15417.72,35322.76,2.29
C3,US,DTC,2026-01-01,7469.23,27364.76,3.66
C3,US,DTC,2026-02-01,12634.54,72044.39,5.7
C3,UK,AMZ,2025-10-01,14392.65,72415.65,5.03
C3,UK,AMZ,2025-11-01,18256.19,87928.07,4.82
C3,UK,AMZ,2025-12-01,11502.9,66344.35,5.77
C3,UK,AMZ,2026-01-01,18252.21,97198.43,5.33
C3,UK,AMZ,2026-02-01,14126.14,33914.68,2.4
C3,UK,DTC,2025-10-01,21842.79,44363.55,2.03
C3,UK,DTC,2025-11-01,16882.32,46784.41,2.77
C3,UK,DTC,2025-12-01,20684.39,122403.59,5.92
C3,UK,DTC,2026-01-01,16610.07,87534.95,5.27
C3,UK,DTC,2026-02-01,17694.6,70483.96,3.98
C3,DE,AMZ,2025-10-01,28260.59,157125.02,5.56
C3,DE,AMZ,2025-11-01,24645.01,78494.92,3.19
C3,DE,AMZ,2025-12-01,18625.21,53930.95,2.9
C3,DE,AMZ,2026-01-01,16097.92,63375.13,3.94
C3,DE,AMZ,2026-02-01,25791.0,144019.87,5.58
C3,DE,DTC,2025-10-01,15365.5,31819.15,2.07
C3,DE,DTC,2025-11-01,26544.35,71593.16,2.7
C3,DE,DTC,2025-12-01,20547.05,43146.41,2.1
C3,DE,DTC,2026-01-01,14987.66,89084.27,5.94
C3,DE,DTC,2026-02-01,7517.34,27774.86,3.69
C4,US,AMZ,2025-10-01,12678.75,71259.04,5.62
C4,US,AMZ,2025-11-01,26733.5,78885.08,2.95
C4,US,AMZ,2025-12-01,7029.69,31693.73,4.51
C4,US,AMZ,2026-01-01,13409.22,62866.95,4.69
C4,US,AMZ,2026-02-01,5802.99,14702.44,2.53
C4,US,DTC,2025-10-01,22159.31,63142.57,2.85
C4,US,DTC,2025-11-01,26439.69,59075.88,2.23
C4,US,DTC,2025-12-01,10387.05,62262.48,5.99
C4,US,DTC,2026-01-01,15826.9,76156.87,4.81
C4,US,DTC,2026-02-01,9566.58,42470.59,4.44
C4,UK,AMZ,2025-10-01,23152.65,75429.17,3.26
C4,UK,AMZ,2025-11-01,25722.43,113530.33,4.41
C4,UK,AMZ,2025-12-01,14728.08,62308.17,4.23
C4,UK,AMZ,2026-01-01,19419.02,51696.17,2.66
C4,UK,AMZ,2026-02-01,15068.31,50836.29,3.37
C4,UK,DTC,2025-10-01,15022.57,75780.49,5.04
C4,UK,DTC,2025-11-01,17063.46,98307.11,5.76
C4,UK,DTC,2025-12-01,12341.91,45206.12,3.66
C4,UK,DTC,2026-01-01,24673.92,103238.11,4.18
C4,UK,DTC,2026-02-01,18675.7,41336.06,2.21
C4,DE,AMZ,2025-10-01,14964.99,46136.09,3.08
C4,DE,AMZ,2025-11-01,29983.38,96948.87,3.23
C4,DE,AMZ,2025-12-01,27112.41,127562.13,4.7
C4,DE,AMZ,2026-01-01,13522.91,56446.49,4.17
C4,DE,AMZ,2026-02-01,26013.4,143944.45,5.53
C4,DE,DTC,2025-10-01,9009.85,30257.71,3.36
C4,DE,DTC,2025-11-01,13380.58,29011.5,2.17
C4,DE,DTC,2025-12-01,19955.94,108146.83,5.42
C4,DE,DTC,2026-01-01,14539.36,72117.32,4.96
C4,DE,DTC,2026-02-01,20692.51,72477.48,3.5
C5,US,AMZ,2025-10-01,8526.49,41245.15,4.84
C5,US,AMZ,2025-11-01,26364.13,125056.09,4.74
C5,US,AMZ,2025-12-01,5446.96,15605.17,2.86
C5,US,AMZ,2026-01-01,6737.0,28844.76,4.28
C5,US,AMZ,2026-02-01,23911.94,58400.53,2.44
C5,US,DTC,2025-10-01,25958.45,109597.51,4.22
C5,US,DTC,2025-11-01,22249.23,130950.23,5.89
C5,US,DTC,2025-12-01,7092.02,39750.04,5.6
C5,US,DTC,2026-01-01,8152.57,29119.64,3.57
C5,US,DTC,2026-02-01,26285.97,147859.03,5.63
C5,UK,AMZ,2025-10-01,17659.29,77284.44,4.38
C5,UK,AMZ,2025-11-01,22703.68,121034.11,5.33
C5,UK,AMZ,2025-12-01,8037.78,42120.2,5.24
C5,UK,AMZ,2026-01-01,17031.9,64763.69,3.8
C5,UK,AMZ,2026-02-01,15597.49,62964.67,4.04
C5,UK,DTC,2025-10-01,28626.26,120024.61,4.19
C5,UK,DTC,2025-11-01,28829.44,78449.53,2.72
C5,UK,DTC,2025-12-01,23103.4,121268.78,5.25
C5,UK,DTC,2026-01-01,21978.22,97312.73,4.43
C5,UK,DTC,2026-02-01,19120.32,104085.71,5.44
C5,DE,AMZ,2025-10-01,25541.16,63575.9,2.49
C5,DE,AMZ,2025-11-01,26214.69,95848.1,3.66
C5,DE,AMZ,2025-12-01,11342.42,62145.96,5.48
C5,DE,AMZ,2026-01-01,15800.62,82691.89,5.23
C5,DE,AMZ,2026-02-01,11585.09,23352.27,2.02
C5,DE,DTC,2025-10-01,17386.48,41743.43,2.4
C5,DE,DTC,2025-11-01,23859.4,74066.75,3.1
C5,DE,DTC,2025-12-01,16091.14,37784.16,2.35
C5,DE,DTC,2026-01-01,12166.48,62364.9,5.13
C5,DE,DTC,2026-02-01,8789.7,40332.75,4.59
